track_names,embedding_dim_1,embedding_dim_2,embedding_dim_3,embedding_dim_4,embedding_dim_5,embedding_dim_6,embedding_dim_7,embedding_dim_8,embedding_dim_9,embedding_dim_10,embedding_dim_11,embedding_dim_12
"Scheherazade: Calm - the triumph of Scheherazade | Kesaillan idylli (Summer Night's Idyll) , Op. 16, No. 2 (arr. J. Panula) | Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato - Radio Edit | Bizet: Carmen, Act 1: ""L'amour est un oiseau rebelle"" (Habanera) [Carmen, Chorus] | Sibelius: Lemminkäinen Suite, Op. 22: II. The Swan of Tuonela",0.36396557,-0.2372053,-0.30575755,-0.30890253,-0.29889622,0.19144447,0.39410236,0.47372523,-0.052485898,0.33479726,-0.038546465,0.017380808
"Blinding Lights | Cheap Thrills | « Dolly », 6 pièces pour piano à 4 mains, Op. 56: Berceuse | Winter Light | New Home",0.20610584,-0.40712166,-0.2433947,-0.25843662,-0.25910556,0.3244826,0.08383342,0.56948495,-0.12429747,0.22183202,-0.29688168,-0.09580245
"Handel: Water Music, Suite No. 3 in G Major, HWV 350: III. Minuets I & II | William Tell Overture | Love Story - Instrumental | 12 Songs, Op. 21: V. Lilacs (Transcr. Rachmaninoff for Solo Piano) | Einaudi: Una mattina",0.42392078,-0.28757977,-0.30026096,-0.14160801,-0.27414808,0.24098392,0.17912513,0.5104147,-0.07782116,0.33539656,-0.24641901,-0.14923415
"Snow On The Beach | Once Upon a Time - Slowed | Pavane, Op. 50: Andante molto moderato | 3 Romances, Op. 94: No. 2, Einfach, innig - Musical Moments | Parliament Of Owls",0.29965398,-0.382005,-0.31540668,0.0037619506,-0.30231333,0.04226303,0.2612782,0.6255514,-0.15929787,0.17503956,-0.116803825,-0.20583002
"In the Steppes of Central Asia | The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude | Das Rheingold: Entrance of the Gods into Valhalla | Vaughan Williams: Fantasia on a Theme by Thomas Tallis | I got u",0.18419096,-0.2627293,-0.36615628,-0.30937093,-0.2408188,0.3794286,0.16912904,0.62235236,-0.08211772,0.13231865,-0.15676697,-0.023491552
"Symphony No. 9 in D Minor, Op. 125 ""Choral"": II. Molto vivace | (I Just) Died In Your Arms - Symphony Orchestra Version | Was mir behagt, ist nur die muntre Jagd, Cantata BWV 208: Sheep May Safely Graze | Wachet auf, ruft uns die Stimme, BWV 645 | Le Carnaval des Animaux, R.125: 4. Tortues",0.35400975,-0.3048039,-0.25021484,-0.10122887,-0.3211562,0.2263294,0.14962053,0.57278067,-0.035855692,0.33895084,-0.2628635,-0.13717158
"Bad Guy | Oboe Concerto in D Minor: II. Adagio | Pavane, Op. 50 (Version for Piano) | Bizet / Arr. Guiraud: Carmen Suite No. 1: III. Intermezzo | Goldberg Variations, BWV 988: Aria",0.20925337,-0.45811504,-0.17275488,-0.4054977,-0.25420865,0.17964248,0.20198593,0.4794485,-0.12556998,0.3238679,-0.25242606,-0.011456729
"Tonight, Tonight - String Quartet Version | Don't Stop Me Now - Arr. for Piano by Francesco Parrino | 7 Canciones populares españolas - Arranged by Mischa Maisky: No. 5: Nana | Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse | How Deep Is Your Love - from ""Saturday Night Fever""",0.15431325,-0.32818204,-0.30966073,-0.2036555,-0.3168297,0.34647638,0.16629733,0.6768293,-0.06382902,0.08417594,-0.114599265,-0.025420515
"Cornelia Street - Piano Version | Henry V: Henry V: Touch her soft lips and part | Widmung, Op. 25 No. 1 | Cavalleria rusticana: Intermezzo | Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",0.28557432,-0.2741627,-0.4146204,-0.21908873,-0.2060516,0.38109237,0.13622382,0.575298,-0.15629035,0.059258673,-0.19222651,-0.14584084
"Unchained Melody | Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio | A Little Book of Hours: VI. Singing Sun | Cypresses, B. 152: No. 9, Thou Only Dear One, but for Thee. Moderato | Palladio: 1. Allegretto (arr. for Strings Orchestra)",0.067381494,-0.43961096,-0.2931515,-0.3563484,-0.14305572,0.34031528,0.08049715,0.623117,-0.16271175,-0.10574791,-0.13203049,-0.056180146
