track_id,track_name,artist,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
2IpGdrWvIZipmaxo1YRxw5,Bottoms Up (feat. Nicki Minaj),Trey Songz,1,0.845,0.601,1.0,-5.283,0.161,0.0205,0.0,0.385,0.329,74.008,242.013
0PDCewmZCp0P5s00bptcdd,This Will Be (An Everlasting Love),Natalie Cole,72,0.685,0.623,8.0,-11.146,0.042,0.228,0.00234,0.0295,0.896,126.739,171.96
4yQ69pROFINS9Uko7DRWhN,Divine Failure,Lemuel Tay,0,0.702,0.621,8.0,-10.832,0.189,0.0516,0.00644,0.137,0.269,110.423,180.709
4qNJ5EqfVgWVXzglYeQPPS,Soulful,MDNA,8,0.775,0.497,10.0,-10.685,0.0633,0.615,0.923,0.094,0.225,99.996,177.778
6vX2tsSVoZspomS0WGDpgC,時光正好 (電影《夏有喬木雅望天堂》推廣曲),Yisa Yu,26,0.507,0.477,10.0,-8.498,0.0285,0.386,5.58e-06,0.127,0.288,131.839,279.306
3piSeZsUx79vyAJYMpODvy,Due Tramonti,Ludovico Einaudi,44,0.199,0.0618,2.0,-22.286,0.047,0.97,0.864,0.111,0.0687,119.842,292.627
18Lkb2PsBXYtW8jJdYcWgw,"As Coroner, I Must Aver",Harry Stanton,0,0.731,0.291,0.0,-15.928,0.156,0.87,0.0,0.407,0.971,94.135,31.107
1p46bniF6fC9kT1v5yjJOI,Head Over Heels,The Go-Go's,48,0.557,0.81,2.0,-10.572,0.0452,0.0669,2.25e-06,0.138,0.926,157.179,216.96
3z4CGd63tpUn9a6oQSG0CI,Location (feat. Burna Boy),Dave,73,0.812,0.496,9.0,-5.969,0.297,0.271,0.0,0.0955,0.55,109.979,241.293
249gnXrbfmV8NG6jTEMSwD,Life Goes On,BTS,1,0.566,0.716,1.0,-5.733,0.0424,0.00691,0.0,0.37,0.45,81.068,207.481
2ogfEqGNv9LAzkPY6rjfsi,Goodbye,WENDY,50,0.46,0.316,8.0,-6.366,0.0317,0.861,0.0,0.111,0.51,128.913,193.933
7HKxTNVlkHsfMLhigmhC0I,Call Me,Blondie,69,0.553,0.833,2.0,-6.667,0.0347,0.000646,0.00246,0.0737,0.773,142.663,212.227
3iJxloILmOu2NIRZ0OGyui,Bennie And The Jets - Remastered 2014,Elton John,0,0.666,0.668,0.0,-7.961,0.0523,0.251,5.77e-06,0.499,0.765,132.666,322.549
4LH5ZPF0CpJQk9u8agmEgK,"Mama, I'm A Big Girl Now (""Hairspray"")",Ricki Lake,0,0.651,0.708,1.0,-5.362,0.148,0.689,0.000152,0.613,0.583,141.111,198.853
09igKkkm150rRZIxu1gjh3,Over For You,Morgan Evans,50,0.629,0.36,4.0,-8.969,0.025,0.423,0.000104,0.111,0.426,91.067,185.681
1umss1mMWPZCxoPLbGOsbZ,"The New Girl In Town (""Hairspray"")",Brittany Snow,0,0.77,0.739,1.0,-6.431,0.0972,0.232,0.0,0.337,0.957,129.968,135.693
74cfwBYBzG8QOvxcBZBeKE,Life,Reggie Becton,22,0.65,0.677,4.0,-7.023,0.103,0.717,9.21e-05,0.348,0.703,159.954,175.999
29FNeqjOV2kPWGS55qhtGB,"Money, Money, Money",ABBA,63,0.756,0.741,9.0,-6.426,0.0364,0.43,0.00113,0.0807,0.691,120.445,186.787
2gocMpiwnMRLDejlcSJt7J,Lady Marmalade,Christina Aguilera,0,0.741,0.859,5.0,-2.223,0.057,0.0148,1.84e-06,0.664,0.611,109.905,265.973
72pKaqEww3zHWt5P2MBnMJ,Be Without You,Mary J. Blige,53,0.725,0.678,2.0,-6.489,0.102,0.0872,0.0,0.291,0.683,146.586,248.333
5NFAE8XxEjBrpNu4tEvhqG,Rise,Hans Zimmer,52,0.12,0.313,2.0,-16.93,0.0351,0.549,0.882,0.096,0.0416,94.943,435.884
2XDBdNMtOaXBsJCm6HZeE2,连名带姓 - Live,黄霄雲,27,0.303,0.55,4.0,-6.855,0.0333,0.322,0.0,0.101,0.161,167.874,207.857
31CsLSgn0HdZEVC8Bnnmvr,Bootylicious,Destiny's Child,48,0.835,0.833,1.0,-4.364,0.284,0.00247,0.0,0.171,0.586,103.358,207.733
